cluster,n,lat,lon,date,region,top_culture,dom_Y,dom_mt
211,30,36.36,120.44,5300.0,East Asia,China_Qingdao_BeiQian_Dawenkou,n/(28),
212,26,36.835,117.88,2500.0,East Asia,China_Jinan_LiuJiaZhuang_Shang,n/(25),
213,14,34.87,113.35,3098.0,East Asia,China_Henan_Xisima_LShang,n/(3); O2(2); N(2),
214,21,31.5856,80.0958,2550.0,South Asia,China_Tibet_Gebusailu_IA,D1(11); n/(6); N1(1),Z(5); A(4); G(3)
215,8,56.238,10.79165,2900.0,Europe,Denmark_AalstrupMellergaard_EIA,N1(1); I2(1); R1(1),
216,13,63.8604,11.307,3416.0,Europe,Norway_Sund_EBA,R1(8); P1(1),
217,34,-9.24,147.03,415.0,SE Asia / Oceania,PapuaNewGuinea_Nebira_LateMedieval,,
218,44,38.665,-8.02,750.0,Europe,Portugal_KingdomOfPortugal,R1(12); E1(4); J2(4),H(2)
219,11,40.176,-8.683,200.0,Europe,Portugal_KingdomOfPortugal,E1(2); J1(1); R1(1),
220,28,25.84,100.59,3300.0,East Asia,China_MLBA,O2(6); O(2); N1(2),
221,49,24.7,103.0,1700.0,East Asia,China_Roman_LateAntiquity,O1(14); O2(3); N1(3),
222,31,27.27,100.25,2300.0,East Asia,China_IA_Hellenistic,O2(8); D1(4); C2(2),
223,9,32.6917,112.1347,5884.0,East Asia,China_Baligang_N_Yangshao,O2(7); n/(1),F(1)
224,34,40.163,114.49,4559.0,East Asia,China_LN_Xiaoheyan,N1(11); N(4); C2(2),
225,12,41.2942,114.2297,7550.0,East Asia,China_Sitaimengguying_EN,N(3); F(1); CT(1),
