cluster,n,region,regions_all,date_BP_median,date_BP_min,date_BP_max,lat,lon,top_cultures,dominant_Y_hg,dominant_mt_hg,climate
130,8,Other,Other (8),4225,4187,4225,46.48,90.75,China_Xinjiang_ChaganguoleChagangole_BA_Chemurcheck (8),R1 (3); n/ (3); Q (1),C4 (2); D4 (1); A1 (1),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (7); Late Holocene (post-4.2ka) (1)
108,8,Europe,Europe (8),2300,2300,2300,47.29,39.54,Russia_Sarmatian (8),R1 (5); n/ (2); Q1 (1),A+ (2); U2 (2); I1 (1),Late Holocene (post-4.2ka) (8)
119,8,East Asia,East Asia (8),1550,1550,1550,35.24,128.88,RepublicofKorea_ThreeKingdoms (8),n/ (5); D1 (1); O1 (1),D4 (4); B4 (1); M1 (1),Late Holocene (post-4.2ka) (8)
163,8,Europe,Europe (7); Central Asia / Steppe (1),6168,5976,6230,44.04,43.31,Russia_Eneolithic_Caucasus (4); Russia_StavropolKrai_Eneolithic_Steppe (2); Russia_StavropolKrai_Eneolithic (1),R1 (4); n/ (3),T2 (2); U2 (2); H2 (1),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (8)
182,8,Africa,Africa (8),2234,2150,2409,-2.07,35.88,Kenya_PastoralN (4); Tanzania_PastoralN (2); Tanzania_PastoralN_IA-oForager (2),n/ (3); A1 (2); E1 (2),L4 (4); L3 (2); M1 (1),Late Holocene (post-4.2ka) (8)
202,8,Near East / SW Asia,Near East / SW Asia (8),9398,9214,9450,34.99,46.37,Iraq_PPN (4); Iran_TepeGuran_EN_PPN (2); Iran_WezmehCave_N (1),n/ (4); G2 (1); J (1),n/ (3); J1 (1); HV (1),Early Holocene (rapid warming) (8)
193,8,Africa,Africa (8),440,297,521,-9.06,39.55,Tanzania_Swahili (7); Tanzania_Swahili-oNearEast (1),E1 (4); n/ (2); J2 (1),L3 (5); L2 (1); L0 (1),Late Holocene (post-4.2ka) (8)
187,8,Americas,Americas (8),2242,2148,2345,10.03,-69.64,Venezuela_Ceramic (8),Q1 (6); n/ (2),B2 (8),Late Holocene (post-4.2ka) (8)
189,8,Siberia / North Asia,Siberia / North Asia (8),950,850,950,57.53,72.53,Russia_Omsk_HanMan (8),Q1 (4); n/ (3); N1 (1),F1 (2); U4 (1); J1 (1),Late Holocene (post-4.2ka) (8)
199,8,Americas,Americas (8),1225,1175,1350,20.86,-100.93,Mexico_Medieval (8),n/ (4); Q1 (2); F (1),D1 (4); B2 (2); A2 (2),Late Holocene (post-4.2ka) (8)
201,8,Europe,Europe (8),10358,10350,10500,48.22,35.4,Ukraine_Mesolithic (5); Ukraine_Mesolithic-Dup (2); Ukraine_Zaporizhia_EN (1),I2 (3); R1 (2); n/ (1),n/ (3); U5 (2); H2 (1),Early Holocene (rapid warming) (8)
215,8,Europe,Europe (8),2900,2874,2900,56.24,10.79,Denmark_Maderne_LBA (1); Sweden_Bengtstorp_EarlyRoman (1); Denmark_Lygtebaek_EIA (1),N1 (1); I2 (1); R1 (1),—,Late Holocene (post-4.2ka) (8)
176,7,Americas,Americas (7),420,330,450,-54.6,-65.58,Argentina_TierradelFuego_400BP_Haush (4); Chile_CerroJohnny_400BP_Aonikenk (1); Argentina_NorthTierradelFuego_500BP_Selknam (1),Q1 (6); n/ (1),D1 (6); C (1),Late Holocene (post-4.2ka) (7)
